dsgdb9 ID	symmetry point group	composition	mu / D	alpha / bohr^3	E(HOMO) / eV	E(LUMO) / eV	chemical hardness / eV	zpve / eV	U(0K) / kcal.mol-1	U(298.15K) / kcal.mol-1	H(298.15K) / kcal.mol-1	G(298.15K) / kcal.mol-1	Cv(298.15K) / cal.mol-1.K-1	SMILES BASIC	SMILES STEREO	InChi1	InChi2
82308	C1	C8 N1 H15	1.4253	87.43	-6.01915863761265	2.06262307744593	8.08178171505858	5.92998692488454	-231177.406281359	-231171.633194198	-231171.040197745	-231198.053225585	37.154	CC1N2CC2CC1(C)C	C[C@H]1N2C[C@H]2CC1(C)C	InChI=1S/C8H15N/c1-6-8(2,3)4-7-5-9(6)7/h6-7H,4-5H2,1-3H3	InChI=1S/C8H15N/c1-6-8(2,3)4-7-5-9(6)7/h6-7H,4-5H2,1-3H3/t6-,7-,9?/m1/s1
21686	C1	N2 C5 O1 H4	2.825	64.94	-6.38651235193349	-0.598650497411746	5.78786185452175	2.28600134713925	-236875.947199749	-236871.580988829	-236870.988619885	-236895.374265557	26.304	NC1=NOC=C1C#C	Nc1nocc1C#C	InChI=1S/C5H4N2O/c1-2-4-3-8-7-5(4)6/h1,3H,(H2,6,7)	InChI=1S/C5H4N2O/c1-2-4-3-8-7-5(4)6/h1,3H,(H2,6,7)
66343	C1	O2 C7 H10	2.8472	78.03	-6.74570265038054	-1.13199366783312	5.61370898254742	4.33697795127189	-265470.537994965	-265465.252482665	-265464.660113721	-265491.231374891	32.593	OC1(CCCC=C1)C=O	O[C@]1(CCCC=C1)C=O	InChI=1S/C7H10O2/c8-6-7(9)4-2-1-3-5-7/h2,4,6,9H,1,3,5H2	InChI=1S/C7H10O2/c8-6-7(9)4-2-1-3-5-7/h2,4,6,9H,1,3,5H2/t7-/m1/s1
38467	C1	C7 O1 N1 H9	1.3657	75.34	-6.25317655932815	0.691169210648107	6.94434576997626	4.08236101016817	-252109.268673117	-252105.556327068	-252104.963958125	-252127.942727556	26.543	C1C2OC34CN(C3)C1C24	C1[C@H]2O[C@@]34CN(C3)[C@@H]1[C@@H]24	InChI=1S/C7H9NO/c1-4-6-5(1)9-7(6)2-8(4)3-7/h4-6H,1-3H2	InChI=1S/C7H9NO/c1-4-6-5(1)9-7(6)2-8(4)3-7/h4-6H,1-3H2/t4-,5+,6-/m0/s1
36951	C1	C7 O2 H12	0.0153	78.04	-6.71032784826076	1.81499946260743	8.52532731086819	4.97837753647608	-266174.183821025	-266168.48729002	-266167.894921076	-266196.928529422	31.794	C(C1COC1)C1COC1	C(C1COC1)C1COC1	InChI=1S/C7H12O2/c1(6-2-8-3-6)7-4-9-5-7/h6-7H,1-5H2	InChI=1S/C7H12O2/c1(6-2-8-3-6)7-4-9-5-7/h6-7H,1-5H2
42794	C1	O3 C6 H6	3.1617	65.37	-6.78379859112492	-1.6571734223807	5.12662516874423	3.06824706755268	-287260.006289754	-287255.501399239	-287254.909030296	-287280.037019675	27.301	O=C1C2CCC(=O)C1O2	O=C1[C@H]2CCC(=O)[C@@H]1O2	InChI=1S/C6H6O3/c7-3-1-2-4-5(8)6(3)9-4/h4,6H,1-2H2	InChI=1S/C6H6O3/c7-3-1-2-4-5(8)6(3)9-4/h4,6H,1-2H2/t4-,6+/m1/s1
108988	C1	C8 O1 H12	1.8013	83.56	-6.03548546936024	0.261229307961489	6.29671477732173	4.94743819031439	-242882.678101155	-242877.144095103	-242876.55172616	-242903.636917589	34.24	CCC1=CC2CC1(C)O2	CCC1=C[C@H]2C[C@]1(C)O2	InChI=1S/C8H12O/c1-3-6-4-7-5-8(6,2)9-7/h4,7H,3,5H2,1-2H3	InChI=1S/C8H12O/c1-3-6-4-7-5-8(6,2)9-7/h4,7H,3,5H2,1-2H3/t7-,8-/m0/s1
3654	C1	C4 N3 H7	4.6004	59.43	-6.48175220379445	0.146941485728338	6.62869368952279	3.10411167462489	-201288.162412127	-201283.680739463	-201283.088370519	-201308.338724246	24.383	CC1=C(C)N=NN1	Cc1c(C)nn[nH]1	InChI=1S/C4H7N3/c1-3-4(2)6-7-5-3/h1-2H3,(H,5,6,7)	InChI=1S/C4H7N3/c1-3-4(2)6-7-5-3/h1-2H3,(H,5,6,7)
126556	C1	C7 N2 H12	2.4087	86.99	-6.18514809371318	0.808178171505857	6.99332626521904	4.98248645579923	-240533.11885029	-240526.91403661	-240526.321667667	-240555.902464274	35.192	CCCC1=NNC(C)=C1	CCCc1n[nH]c(C)c1	InChI=1S/C7H12N2/c1-3-4-7-5-6(2)8-9-7/h5H,3-4H2,1-2H3,(H,8,9)	InChI=1S/C7H12N2/c1-3-4-7-5-6(2)8-9-7/h5H,3-4H2,1-2H3,(H,8,9)
71404	C1	C7 N1 O1 H9	0.3828	75.95	-6.71849126413455	2.05445966157213	8.77295092570668	4.01933943962246	-252178.514971089	-252173.82559279	-252173.233223846	-252198.344897979	29.717	CC12CC3N1C2C31CO1	C[C@]12C[C@@H]3N1[C@H]2[C@]13CO1	InChI=1S/C7H9NO/c1-6-2-4-7(3-9-7)5(6)8(4)6/h4-5H,2-3H2,1H3	InChI=1S/C7H9NO/c1-6-2-4-7(3-9-7)5(6)8(4)6/h4-5H,2-3H2,1H3/t4-,5+,6+,7+,8?/m0/s1
